date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:16	64313/64313	---M-Z	200	added ('OK')	text/html	etag:W/%2261f0dbfd-fb39%22	https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710	C:/Users/DEV/Downloads/sample/technext.github.io/makan/index6521.html	(from )
17:43:16	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9755a2-247b%22	https://technext.github.io/robots.txt		(from )
17:43:16	13673/13673	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2261f0dbfc-3569%22	https://technext.github.io/makan/img/favicon.ico	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/favicon.ico	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:16	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/DEV/Downloads/sample/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:17	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/DEV/Downloads/sample/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:17	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%2261f0dbfd-4239%22	https://technext.github.io/makan/lib/animate/animate.min.css	C:/Users/DEV/Downloads/sample/technext.github.io/makan/lib/animate/animate.min.css	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:17	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2261f0dbfd-b78%22	https://technext.github.io/makan/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/DEV/Downloads/sample/technext.github.io/makan/lib/owlcarousel/assets/owl.carousel.min.css	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:17	164336/164336	---M-Z	200	added ('OK')	text/css	etag:W/%2261f0dbfc-281f0%22	https://technext.github.io/makan/css/bootstrap.min.css	C:/Users/DEV/Downloads/sample/technext.github.io/makan/css/bootstrap.min.css	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:18	7796/7796	---M-Z	200	added ('OK')	text/css	etag:W/%2261f0dbfc-1e74%22	https://technext.github.io/makan/css/style.css	C:/Users/DEV/Downloads/sample/technext.github.io/makan/css/style.css	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:18	64313/64313	---M-Z	200	added ('OK')	text/html	etag:W/%2261f0dbfd-fb39%22	https://technext.github.io/makan/index.html	C:/Users/DEV/Downloads/sample/technext.github.io/makan/index.html	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
